Shareholder,Number of Shares,Percentage
Melstacorp PLC,128917111,9.31
Mr S E Captain,126044705,9.1
HWIC Asia Fund,119200760,8.61
Paints and General Industries Limited,100717931,7.27
Asian Development Bank,65042006,4.7
Citigroup Global Markets Limited Agency Trading,61904939,4.47
Schroder International Selection Fund,44418290,3.21
CIC Holdings PLC,35338032,2.55
Aberdeen Standard Asia Focus PLC,33398572,2.41
Norges Bank Account 2,31901605,2.3
Sri Lanka Insurance Corporation Limited - Life Fund,21846511,1.58
Mr Kandiah Balendra,19511476,1.41
Employees Trust Fund Board,18499897,1.34
Mrs C S De Fonseka,17606991,1.27
Edgbaston Asian Equity Trust,17520023,1.27
Fidelity Fund - Pacific,15244082,1.1
Mrs S A J De Fonseka,15204230,1.1
Polypak Secco Limited,14937924,1.08
Chemanex PLC,13105475,0.95
Sunsuper Superannuation Fund,11587196,0.84
