Metric,Value,Formatted Value
Total Revenue,128921632.0,LKR 128.92 Mn
Cost of Sales,-113960929.0,LKR -113.96 Mn
Operating Expenses,-113563.0,LKR -0.11 Mn
Gross Profit,26081631.0,LKR 26.08 Mn
Gross Profit Margin (%),20.23,20.23%
Earnings Per Share,19.1,19.1
Net Asset Per Share,164.5,164.5
