Shareholder,Number of Shares,Percentage
Paints and General Industries Limited,140437428.0,10.14
Mr S E Captain,134220895.0,9.69
Melstacorp PLC,128917111.0,9.31
HWIC Asia Fund,119200760.0,8.61
Asian Development Bank,65042006.0,4.7
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,61904939.0,4.47
Schroder International Selection Fund,41974590.0,3.03
Mr R S Captain,34405091.0,2.48
Norges Bank Account 2,31901605.0,2.3
Aberdeen Standard Asia Focus PLC,28123572.0,2.03
Mr Kandiah Balendra,19511476.0,1.41
Employees Trust Fund Board,18499897.0,1.34
Fidelity Fund - Pacific,17880904.0,1.29
Mrs C S De Fonseka,17472745.0,1.26
Mrs S A J De Fonseka,15204230.0,1.1
Edgbaston Asian Equity Trust,15142109.0,1.09
Chemanex PLC,12605234.0,0.91
Sri Lanka Insurance Corporation Limited - Life Fund,12270665.0,0.89
Mr K N J Balendra,10907628.0,0.79
Schroder Asian Growth Fund,10328047.0,0.75
