Shareholder,Number of Shares,Percentage
Mr S E Captain,134044705.0,9.68
Melstacorp PLC,128917111.0,9.31
HWIC Asia Fund,119200760.0,8.61
Paints and General Industries Limited,100717931.0,7.27
Asian Development Bank,65042006.0,4.7
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,61904939.0,4.47
Schroder International Selection Fund,44418290.0,3.21
CIC Holdings PLC,35338032.0,2.55
Aberdeen Standard Asia Focus PLC,33398572.0,2.41
Norges Bank Account 2,31901605.0,2.3
Sri Lanka Insurance Corporation Limited - Life Fund,21846511.0,1.58
Mr Kandiah Balendra,19511476.0,1.41
Employees Trust Fund Board,18499897.0,1.34
Mrs C S De Fonseka,17606991.0,1.27
Edgbaston Asian Equity Trust,17520023.0,1.27
Fidelity Fund - Pacific,15244082.0,1.1
Mrs S A J De Fonseka,15204230.0,1.1
Polypak Secco Limited,14937924.0,1.08
Chemanex PLC,13105475.0,0.95
Sunsuper Superannuation Fund,11587196.0,0.84
