Metric,Value,Formatted Value
Total Revenue,262338375.0,LKR 262.34 Mn
Cost of Sales,-226490684.0,LKR -226.49 Mn
Operating Expenses,-144551.0,LKR -0.14 Mn
Gross Profit,54281920.0,LKR 54.28 Mn
Gross Profit Margin (%),20.69,20.69%
Earnings Per Share,8.0613,8.0613
Net Asset Per Share,238.8,238.8
