Shareholder,Number of Shares,Percentage
Mr S E Captain,153211107.0,11.62
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,141854717.0,10.76
Melstacorp PLC,128917111.0,9.78
Paints & General Industries Limited,93787615.0,7.11
Schroder International Selection Fund,42475806.0,3.22
HWIC Asia Fund,39250982.0,2.98
Mr R S Captain,35733994.0,2.71
Edgbaston Asian Equity Trust,29849703.0,2.26
Norges Bank Account 2,28394516.0,2.15
Aberdeen Standard Asia Focus PLC,22693572.0,1.72
Aberdeen Standard SICAV I - Asia Pacific Equity Fund,19898613.0,1.51
Mr Kandiah Balendra,19511476.0,1.48
Fidelity Fund - Pacific,19060108.0,1.45
Employees Trust Fund Board,18690918.0,1.42
Aberdeen Standard SICAV I - Asian Smaller Companies Fund,16763554.0,1.27
Mrs C S De Fonseka,13668417.0,1.04
Schroder Asian Growth Fund,13164018.0,1.0
Mrs S A J De Fonseka,13122826.0,1.0
LF Ruffer Investment Funds: LF Ruffer Pacific and Emerging Markets Fund,11297899.0,0.86
LF Ruffer Total Return Fund,11154285.0,0.85
