Metric,Value,Formatted Value
Total Revenue,114454483.0,LKR 114.45 Mn
Cost of Sales,-108747058.0,LKR -108.75 Mn
Operating Expenses,-94874.0,LKR -0.09 Mn
Gross Profit,18928592.0,LKR 18.93 Mn
Gross Profit Margin (%),16.54,16.54%
Earnings Per Share,3.62,3.62
Net Asset Per Share,171.4,171.4
