Metric,Value,Formatted Value
Total Revenue,260687372.0,LKR 260.69 Mn
Cost of Sales,-227190277.0,LKR -227.19 Mn
Operating Expenses,-121456.0,LKR -0.12 Mn
Gross Profit,49449630.0,LKR 49.45 Mn
Gross Profit Margin (%),18.97,18.97%
Earnings Per Share,13.12,13.12
Net Asset Per Share,248.6,248.6
